№, Model, Price
1, Tecno POP 5 (BD2p) 2/32GB ice blue, 2 999 ₴
2, Tecno POP 5 (BD2p) 2/32GB obsidian black, 2 999 ₴
3, Tecno POP 5 BD2d 2/32GB ice lake green, 2 999 ₴
4, Tecno POP 5 BD2d 2/32GB obsidian black, 2 999 ₴
5, Tecno POP 5 BD2d 2/32GB ice blue, 2 999 ₴
6, Tecno Spark Go 2022 (KG5M) NFC Dual Sim 2/32GB atlantic blue, 3 799 ₴
7, Tecno Spark Go 2022 (KG5M) NFC Dual Sim 2/32GB turquoise cyan, 3 799 ₴
8, Tecno Spark Go 2022 (KG5m) NFC Dual Sim 2/32GB ice silver, 3 799 ₴
9, Tecno POP 5 LTE (BD4a) 2/32GB ice blue, 3 499 ₴
10, Tecno POP 5 LTE (BD4a) 2/32GB turquoise cyan, 3 499 ₴
11, Tecno POP 5 LTE (BD4a) 2/32GB deepsea luster, 3 499 ₴
12, Tecno POP 5 (BD4) 2/32GB ice blue, 3 499 ₴
13, Tecno Camon 19 Pro NFC 8/128GB polar blue, 9 999 ₴
14, Tecno Camon 19 Pro NFC 8/128GB eco black, 9 999 ₴
15, Tecno POP 5 LTE (BD4i) 3/32GB deepsea luster, 3 999 ₴
16, Tecno POP 5 LTE (BD4i) 3/32GB ice blue, 3 999 ₴
17, Tecno Camon 19 NFC 6/128GB eco black, 7 699 ₴
18, Tecno POVA-3 NFC (LF7n) 6/128GB eco black, 7 999 ₴
19, Tecno POP 2F 2021 1/16GB champagne gold, 2 079 ₴
20, Tecno POP 2F 2021 1/16GB dawn blue, 2 079 ₴
21, Tecno POP 2F 2021 1/16GB midnight black, 2 079 ₴
22, Tecno POP 3 1/16GB black, 2 339 ₴
23, Tecno Spark 8С 4/128GB magnet black, 5 299 ₴
24, Tecno POP 6 Pro (BE8) 2SIM 2/32GB polar black, 3 799 ₴
25, Tecno Camon 19 Neo NFC 6/128GB eco black, 7 699 ₴
26, Tecno Camon 19 Neo NFC 6/128GB ice mirror blue, 7 699 ₴
27, Tecno POVA NEO-2 (LG6n) 4/64GB cyber blue, 6 299 ₴
28, Tecno POVA NEO-2 (LG6n) 4/64GB uranolith grey, 6 299 ₴
29, Tecno Spark 8С 4/64GB magnet black, 4 999 ₴
30, Tecno POP 3 1/16GB gold, 2 454 ₴
31, Tecno Spark 8С NFC 4/64GB diamond grey, 5 199 ₴
32, Tecno Spark 8С NFC 4/64GB turquoise cyan, 5 199 ₴
33, Tecno Spark 8С NFC 4/64GB magnet black, 5 199 ₴
34, Tecno Camon 18 NFC (CH6n) 6/128GB dusk grey, 7 769 ₴
35, Tecno Spark 8С 2/64GB diamond grey, 4 299 ₴
36, Tecno Spark 8С 2/64GB magnet black, 4 299 ₴
37, Tecno Spark 8С 2/64GB iris purple, 4 299 ₴
38, Tecno Spark 9 Pro (KH7n) 4/128GB burano blue, 6 999 ₴
39, Tecno Spark 9 Pro (KH7n) 4/128GB quantum black, 6 999 ₴
